round_number,firm_id,wage,bid_number,time_offered,number_of_offers
2,3,45,3,10.470752477645874,1,10,0.5,2,1,1,13.0,40.5,11.191169023513794,0.7204165458679199,10.362231016159058
2,1,45,5,21.300593376159668,2,7,0.2,4,1,1,18.0,16.2,26.538007497787476,5.237414121627808,14.561375856399536
3,2,50,4,23.585615634918213,1,8,0.1,3,1,1,24.0,7.6000000000000005,25.591565370559692,2.0059497356414795,2.963970184326172
3,4,50,5,27.893290996551514,1,7,0.3,4,1,1,22.0,22.8,29.92522621154785,2.031935214996338,6.7353150844573975
3,3,45,3,11.933135032653809,2,10,0.2,1,1,1,18.0,16.2,12.202449321746826,0.2693142890930176,9.87508749961853
3,1,40,2,6.2233922481536865,1,6,0.1,2,1,1,14.0,8.6,19.087827920913696,12.86443567276001,34.261614084243774
4,1,60,2,2.8621063232421875,1,10,0.6,1,1,1,26.0,39.6,4.243136167526245,1.3810298442840576,7.592321872711182
4,4,40,4,20.999324083328247,1,7,0.1,3,1,1,14.0,8.6,22.525163650512695,1.5258395671844482,8.05458927154541
4,3,40,3,13.319730281829834,2,9,0.1,2,1,1,14.0,8.6,15.579073905944824,2.2593436241149902,49.541099071502686
4,2,25,5,26.11279320716858,1,5,0.6,4,1,1,-9.0,60.599999999999994,41.53195834159851,15.419165134429932,60.37581396102905
5,2,60,3,27.135298013687134,1,8,0.1,2,1,1,34.0,6.6000000000000005,28.698482513427734,1.5631844997406006,2.8637192249298096
5,4,25,5,38.96569800376892,1,7,0.1,4,1,1,-1.0,10.100000000000001,41.81153678894043,2.845838785171509,4.121856451034546
5,1,65,2,6.922991991043091,1,10,0.7,1,1,1,29.0,42.699999999999996,7.488234043121338,0.5652420520782471,4.324212312698364
5,3,30,4,30.08739447593689,2,5,0.1,3,1,1,4.0,9.600000000000001,33.71810507774353,3.6307106018066406,5.941788911819458
6,4,25,3,58.02259039878845,1,8,0.1,3,1,1,-1.0,10.100000000000001,66.21865129470825,8.1960608959198,2.678889513015747
6,3,20,2,8.525070190429688,1,5,0.1,4,1,1,-6.0,10.600000000000001,72.82559847831726,64.30052828788757,3.694955825805664
6,1,65,1,6.438356399536133,1,6,0.1,1,1,1,39.0,6.1000000000000005,6.972399711608887,0.5340433120727539,6.146097898483276
6,2,80,4,64.93060946464539,1,10,0.8,2,1,1,42.0,36.800000000000004,65.42595601081848,0.4953465461730957,6.041661500930786
7,2,70,4,20.80826449394226,1,8,0.1,4,1,1,44.0,5.6000000000000005,22.09105920791626,1.282794713973999,2.186983108520508
7,4,20,3,13.615813255310059,1,6,0.1,3,1,1,-6.0,10.600000000000001,14.069736003875732,0.45392274856567383,3.046969413757324
7,1,25,1,4.243390321731567,1,9,0.1,1,1,1,-1.0,10.100000000000001,4.568044662475586,0.32465434074401855,5.312060117721558
7,3,90,2,5.893136024475098,1,10,0.9,2,1,1,49.0,32.4,6.360512018203735,0.4673759937286377,6.389929294586182
8,2,25,2,3.5347073078155518,1,7,0.1,2,2,0,-1.0,10.100000000000001,3.919410467147827,0.3847031593322754,3.0305352210998535
8,3,80,3,3.7290003299713135,1,5,0.1,3,1,1,54.0,4.6000000000000005,4.953694105148315,1.224693775177002,3.749115228652954
8,1,60,4,14.318702697753906,1,10,0.3,4,1,1,32.0,19.8,14.60022759437561,0.2815248966217041,6.09272027015686
8,4,45,1,2.2340052127838135,1,6,0.1,1,1,1,19.0,8.1,2.3442022800445557,0.11019706726074219,15.981010675430298
9,3,20,4,26.307907819747925,1,10,0.1,2,1,1,-6.0,10.600000000000001,26.792168855667114,0.48426103591918945,3.42106556892395
9,1,5,1,2.1869828701019287,1,9,0.1,1,1,1,-21.0,12.100000000000001,2.4994089603424072,0.3124260902404785,3.436687707901001
9,2,10,3,15.325311422348022,1,5,0.1,3,1,1,-16.0,11.600000000000001,30.33820652961731,15.012895107269287,5.5171918869018555
10,2,50,4,22.175689935684204,1,10,0.3,1,1,1,22.0,22.8,22.79426646232605,0.6185765266418457,4.14735746383667
10,4,35,7,59.07461595535278,3,6,0.1,3,1,1,9.0,9.1,61.18891429901123,2.1142983436584473,4.446317434310913
10,1,35,5,29.519711017608643,2,9,0.1,2,1,1,9.0,9.1,35.98744201660156,6.46773099899292,5.065246820449829
11,1,35,5,24.32404088973999,2,8,0.1,2,1,1,9.0,9.1,27.15149712562561,2.82745623588562,4.748878002166748
11,3,35,6,46.32978701591492,3,6,0.1,3,1,1,9.0,9.1,54.98929834365845,8.65951132774353,5.170653343200684
11,4,40,8,70.99732303619385,2,5,0.2,4,1,1,13.0,17.2,72.82582569122314,1.8285026550292969,5.623672246932983
11,2,100,1,3.1398839950561523,1,9,0.1,1,1,1,74.0,2.6,3.4679312705993652,0.3280472755432129,6.326630115509033
12,4,35,6,58.800981760025024,2,8,0.1,3,1,1,9.0,9.1,60.02394366264343,1.2229619026184082,2.311723470687866
12,2,20,1,3.249793529510498,1,7,0.1,1,1,1,-6.0,10.600000000000001,3.484114408493042,0.23432087898254395,3.162820816040039
12,3,30,5,54.2392795085907,2,9,0.1,4,1,1,4.0,9.600000000000001,63.62441062927246,9.385131120681763,3.849302053451538
12,1,50,3,6.42091965675354,1,10,0.2,2,1,1,23.0,15.200000000000001,7.014529228210449,0.5936095714569092,6.04813289642334
13,3,35,7,70.93982553482056,3,8,0.1,4,1,1,9.0,9.1,73.41531181335449,2.4754862785339355,2.577514886856079
13,2,55,6,65.66265296936035,1,10,0.4,3,1,1,25.0,28.400000000000002,66.38265419006348,0.720001220703125,4.233374834060669
13,1,35,4,24.71415615081787,2,9,0.1,1,1,1,9.0,9.1,27.09158754348755,2.3774313926696777,6.061068534851074
13,4,30,3,16.85471820831299,1,6,0.9,2,1,1,-11.0,86.4,38.71348857879639,21.8587703704834,22.610722541809082
